  3.000 -0.660  0.000  0.600  1.500  4.553  3.222 100000.  30352.  21450.  0.7708  0.6828 90.4775  3.000 0.00000 0.00000
  3.000 -0.660  0.000  0.600  1.500  5.071  3.169 100000.  33450.  21727.  0.7691  0.6784 89.0499  3.000 0.00000 0.00000
  3.000 -0.660  0.000  0.600  1.500  5.347  3.219 100000.  33948.  19914.  0.7681  0.7086 88.2801  3.000 0.00154 0.00302
  3.000 -0.648  0.000  0.600  1.500  5.458  3.134 100000.  35594.  25391.  0.7676  0.6276 88.6474  3.000 0.00000 0.00000
  3.000 -0.648  0.000  0.600  1.500  5.315  3.130 100000.  36125.  23623.  0.7682  0.6506 88.1834  3.000 0.00000 0.00000
  3.000 -0.648  0.000  0.600  1.500  5.299  3.196 100000.  34909.  20772.  0.7682  0.6938 87.9646  3.000 0.03672 0.00272
  3.000 -0.636  0.000  0.600  1.500  5.806  3.058 100000.  42536.  26921.  0.7663  0.6095 86.6807  3.000 0.00000 0.00000
  3.000 -0.636  0.000  0.600  1.500  5.476  3.090 100000.  38556.  25008.  0.7676  0.6324 87.4860  3.000 0.00000 0.00000
  3.000 -0.636  0.000  0.600  1.500  5.241  3.166 100000.  35842.  21456.  0.7685  0.6827 87.6441  3.000 0.03894 0.00261
  3.000 -0.624  0.000  0.600  1.500  5.748  3.044 100000.  43356.  26710.  0.7665  0.6119 86.3459  3.000 0.00000 0.00000
  3.000 -0.624  0.000  0.600  1.500  5.570  3.062 100000.  40492.  25849.  0.7672  0.6220 86.8944  3.000 0.00000 0.00000
  3.000 -0.624  0.000  0.600  1.500  5.213  3.155 100000.  36731.  22226.  0.7685  0.6708 87.3625  3.000 0.02337 0.00262
  3.000 -0.612  0.000  0.600  1.500  5.648  3.036 100000.  43189.  26220.  0.7669  0.6176 86.2143  3.000 0.00000 0.00000
  3.000 -0.612  0.000  0.600  1.500  5.592  3.044 100000.  41972.  26017.  0.7671  0.6200 86.4046  3.000 0.00000 0.00000
  3.000 -0.612  0.000  0.600  1.500  5.158  3.126 100000.  37552.  22653.  0.7687  0.6644 87.0296  3.000 0.01301 0.00265
  3.000 -0.600  0.000  0.600  1.500  5.538  3.013 100000.  42732.  25615.  0.7673  0.6248 86.0823  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.496  3.029 100000.  42598.  25533.  0.7675  0.6258 86.0632  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.126  3.104 100000.  38214.  23055.  0.7689  0.6586 86.7508  3.000 0.00875 0.00269
  3.000 -0.588  0.000  0.600  1.500  5.413  3.009 100000.  42375.  24991.  0.7678  0.6326 85.9563  3.000 0.00000 0.00000
  3.000 -0.588  0.000  0.600  1.500  5.374  3.018 100000.  42376.  24920.  0.7679  0.6335 85.9012  3.000 0.00000 0.00000
  3.000 -0.588  0.000  0.600  1.500  5.081  3.087 100000.  38826.  23221.  0.7690  0.6562 86.4676  3.000 0.00636 0.00274
  3.000 -0.576  0.000  0.600  1.500  5.288  3.000 100000.  41958.  24387.  0.7683  0.6404 85.8597  3.000 0.00000 0.00000
  3.000 -0.576  0.000  0.600  1.500  5.247  3.007 100000.  41957.  24294.  0.7684  0.6416 85.7844  3.000 0.00000 0.00000
  3.000 -0.576  0.000  0.600  1.500  5.032  3.065 100000.  39364.  23159.  0.7692  0.6571 86.1968  3.000 0.00507 0.00278
  3.000 -0.564  0.000  0.600  1.500  5.155  2.993 100000.  41569.  23741.  0.7687  0.6490 85.7477  3.000 0.00000 0.00000
  3.000 -0.564  0.000  0.600  1.500  5.123  3.005 100000.  41518.  23674.  0.7689  0.6499 85.6825  3.000 0.00000 0.00000
  3.000 -0.564  0.000  0.600  1.500  4.973  3.055 100000.  39802.  22970.  0.7694  0.6598 85.9383  3.000 0.00338 0.00283
  3.000 -0.552  0.000  0.600  1.500  5.013  2.982 100000.  41021.  23050.  0.7693  0.6587 85.6206  3.000 0.00000 0.00000
  3.000 -0.552  0.000  0.600  1.500  4.982  2.996 100000.  41024.  22964.  0.7694  0.6599 85.5469  3.000 0.00000 0.00000
  3.000 -0.552  0.000  0.600  1.500  4.874  3.042 100000.  40013.  22533.  0.7697  0.6662 85.7003  3.000 0.00288 0.00288
  3.000 -0.540  0.000  0.600  1.500  4.863  2.980 100000.  40445.  22288.  0.7698  0.6698 85.4882  3.000 0.00000 0.00000
  3.000 -0.540  0.000  0.600  1.500  4.842  2.987 100000.  40515.  22276.  0.7698  0.6700 85.4510  3.000 0.00000 0.00000
  3.000 -0.540  0.000  0.600  1.500  4.748  3.033 100000.  40042.  21872.  0.7702  0.6762 85.4800  3.000 0.00160 0.00295
